hierarchy,store_id,year,week_num,metric,projected_value
Ex Department 1,2,2019,1,revenue,134062.54
Ex Department 1,2,2019,2,revenue,130086.49999999999
Ex Department 1,2,2019,3,revenue,125882.33000000002
Ex Department 1,2,2019,4,revenue,130396.22000000002
Ex Department 1,2,2019,5,revenue,126846.57
Ex Department 1,2,2019,6,revenue,123829.54000000001
Ex Department 1,2,2019,7,revenue,119158.26
Ex Department 1,2,2019,8,revenue,117229.03
Ex Department 1,2,2019,9,revenue,132632.05000000002
Ex Department 1,2,2019,10,revenue,146292.34
Ex Department 1,2,2019,11,revenue,145210.44150000002
Ex Department 1,2,2019,12,revenue,148841.949075
Ex Department 1,2,2019,13,revenue,152294.54552875
Ex Department 1,2,2019,14,revenue,158091.33980518748
Ex Department 1,2,2019,15,revenue,167166.42079544687
Ex Department 1,2,2019,16,revenue,177949.53533521923
Ex Department 1,2,2019,17,revenue,174255.53660198016
Ex Department 1,2,2019,18,revenue,182243.1799320792
Ex Department 1,2,2019,19,revenue,188886.63442868317
Ex Department 1,2,2019,20,revenue,181938.9406501173
Ex Department 1,2,2019,21,revenue,184956.65218262316
Ex Department 1,2,2019,22,revenue,197028.29629175435
Ex Department 1,2,2019,23,revenue,187786.51860634206
Ex Department 1,2,2019,24,revenue,182099.73753665914
Ex Department 1,2,2019,25,revenue,194644.66141349208
Ex Department 1,2,2019,26,revenue,186891.0019841667
Ex Department 1,2,2019,27,revenue,191984.86208337505
Ex Department 1,2,2019,28,revenue,192162.5721875438
Ex Department 1,2,2019,29,revenue,199594.762796921
Ex Department 1,2,2019,30,revenue,196211.25743676702
Ex Department 1,2,2019,31,revenue,194810.69230860542
Ex Department 1,2,2019,32,revenue,201744.93834903566
Ex Department 1,2,2019,33,revenue,205452.79331273746
Ex Department 1,2,2019,34,revenue,191679.2702019368
Ex Department 1,2,2019,35,revenue,196498.05722177427
Ex Department 1,2,2019,36,revenue,200467.09454309064
Ex Department 1,2,2019,37,revenue,190705.73150348422
Ex Department 1,2,2019,38,revenue,189572.5507485594
Ex Department 1,2,2019,39,revenue,187487.77628938347
Ex Department 1,2,2019,40,revenue,172571.73738241845
Ex Department 1,2,2019,41,revenue,188052.4187190335
Ex Department 1,2,2019,42,revenue,194022.01754585403
Ex Department 1,2,2019,43,revenue,180258.47360855903
Ex Department 1,2,2019,44,revenue,182019.58385866985
Ex Department 1,2,2019,45,revenue,176432.8416747704
Ex Department 1,2,2019,46,revenue,177292.3496878343
Ex Department 1,2,2019,47,revenue,166133.50757301768
Ex Department 1,2,2019,48,revenue,164101.9468474998
Ex Department 1,2,2019,49,revenue,171778.8335804976
Ex Department 1,2,2019,50,revenue,167822.78961967648
Ex Department 1,2,2019,51,revenue,163544.45522882196
Ex Department 1,2,2019,52,revenue,144955.13137483277
Ex Department 1,2,2019,1,traffic,53209.0
Ex Department 1,2,2019,2,traffic,53251.0
Ex Department 1,2,2019,3,traffic,51680.0
Ex Department 1,2,2019,4,traffic,54537.0
Ex Department 1,2,2019,5,traffic,55026.0
Ex Department 1,2,2019,6,traffic,53257.0
Ex Department 1,2,2019,7,traffic,51655.0
Ex Department 1,2,2019,8,traffic,50470.0
Ex Department 1,2,2019,9,traffic,56020.0
Ex Department 1,2,2019,10,traffic,57084.75
Ex Department 1,2,2019,11,traffic,55846.6875
Ex Department 1,2,2019,12,traffic,54769.021875
Ex Department 1,2,2019,13,traffic,55067.37296875
Ex Department 1,2,2019,14,traffic,56292.8416171875
Ex Department 1,2,2019,15,traffic,58132.68369804687
Ex Department 1,2,2019,16,traffic,60828.01788294922
Ex Department 1,2,2019,17,traffic,59392.91877709668
Ex Department 1,2,2019,18,traffic,62366.964715951515
Ex Department 1,2,2019,19,traffic,64392.81295174909
Ex Department 1,2,2019,20,traffic,61977.603599336544
Ex Department 1,2,2019,21,traffic,63258.33377930337
Ex Department 1,2,2019,22,traffic,67070.45046826854
Ex Department 1,2,2019,23,traffic,64064.42299168197
Ex Department 1,2,2019,24,traffic,62650.544141266066
Ex Department 1,2,2019,25,traffic,66981.82134832937
Ex Department 1,2,2019,26,traffic,63544.912415745835
Ex Department 1,2,2019,27,traffic,66657.00803653312
Ex Department 1,2,2019,28,traffic,66718.80843835979
Ex Department 1,2,2019,29,traffic,69415.99886027777
Ex Department 1,2,2019,30,traffic,69156.64880329167
Ex Department 1,2,2019,31,traffic,66762.44374345624
Ex Department 1,2,2019,32,traffic,68405.13155562905
Ex Department 1,2,2019,33,traffic,68379.83703966052
Ex Department 1,2,2019,34,traffic,63243.66024320603
Ex Department 1,2,2019,35,traffic,65644.90117450696
Ex Department 1,2,2019,36,traffic,67548.41204832996
Ex Department 1,2,2019,37,traffic,64229.381756599
Ex Department 1,2,2019,38,traffic,64386.20490557412
Ex Department 1,2,2019,39,traffic,64386.11691505525
Ex Department 1,2,2019,40,traffic,60155.58211322056
Ex Department 1,2,2019,41,traffic,66478.83103891477
Ex Department 1,2,2019,42,traffic,68504.85590189532
Ex Department 1,2,2019,43,traffic,62347.77617357667
Ex Department 1,2,2019,44,traffic,63735.893832671405
Ex Department 1,2,2019,45,traffic,62189.91131724167
Ex Department 1,2,2019,46,traffic,63525.365815687284
Ex Department 1,2,2019,47,traffic,60367.88848568436
Ex Department 1,2,2019,48,traffic,60119.33250814192
Ex Department 1,2,2019,49,traffic,64713.508711631024
Ex Department 1,2,2019,50,traffic,65311.03420419869
Ex Department 1,2,2019,51,traffic,66781.45347424404
Ex Department 1,2,2019,52,traffic,60113.70396078343
Ex Department 1,4,2019,1,revenue,70988.29000000001
Ex Department 1,4,2019,2,revenue,71817.16
Ex Department 1,4,2019,3,revenue,64315.200000000004
Ex Department 1,4,2019,4,revenue,66840.34999999999
Ex Department 1,4,2019,5,revenue,64956.600000000006
Ex Department 1,4,2019,6,revenue,65788.95999999999
Ex Department 1,4,2019,7,revenue,60436.12000000001
Ex Department 1,4,2019,8,revenue,61182.06999999999
Ex Department 1,4,2019,9,revenue,64503.049999999996
Ex Department 1,4,2019,10,revenue,80803.32999999999
Ex Department 1,4,2019,11,revenue,74304.128
Ex Department 1,4,2019,12,revenue,78193.72940000001
Ex Department 1,4,2019,13,revenue,81851.67487
Ex Department 1,4,2019,14,revenue,74955.0051135
Ex Department 1,4,2019,15,revenue,86373.732869175
Ex Department 1,4,2019,16,revenue,87018.79701263376
Ex Department 1,4,2019,17,revenue,87478.98686326544
Ex Department 1,4,2019,18,revenue,89956.4142064287
Ex Department 1,4,2019,19,revenue,85227.49041675014
Ex Department 1,4,2019,20,revenue,88603.42493758767
Ex Department 1,4,2019,21,revenue,84713.18068446705
Ex Department 1,4,2019,22,revenue,89506.18421869038
Ex Department 1,4,2019,23,revenue,93818.49242962491
Ex Department 1,4,2019,24,revenue,88631.40505110617
Ex Department 1,4,2019,25,revenue,94499.60080366145
Ex Department 1,4,2019,26,revenue,89383.59984384452
Ex Department 1,4,2019,27,revenue,96911.89083603676
Ex Department 1,4,2019,28,revenue,97577.74637783857
Ex Department 1,4,2019,29,revenue,99953.71669673054
Ex Department 1,4,2019,30,revenue,94193.11003156705
Ex Department 1,4,2019,31,revenue,93025.23003314542
Ex Department 1,4,2019,32,revenue,89803.19013480267
Ex Department 1,4,2019,33,revenue,87432.70717154282
Ex Department 1,4,2019,34,revenue,89254.51528661994
Ex Department 1,4,2019,35,revenue,97172.30329527595
Ex Department 1,4,2019,36,revenue,96700.978816581
Ex Department 1,4,2019,37,revenue,88707.43940677836
Ex Department 1,4,2019,38,revenue,84827.122033954
Ex Department 1,4,2019,39,revenue,86295.65892533027
Ex Department 1,4,2019,40,revenue,85593.87985075927
Ex Department 1,4,2019,41,revenue,84388.40409641786
Ex Department 1,4,2019,42,revenue,81216.5882670154
Ex Department 1,4,2019,43,revenue,88720.34746943164
Ex Department 1,4,2019,44,revenue,89189.80072142198
Ex Department 1,4,2019,45,revenue,86862.28500493777
Ex Department 1,4,2019,46,revenue,87414.26021500157
